locationid,Applicant,cnn,Address
1163793,"SOHOMEI, LLC",2488201,3300 CESAR CHAVEZ ST
1181512,John's Catering #5,6834000,2200 HAYES ST
1022810,Serendipity SF,3528000,400 CALIFORNIA ST
1181510,John's Catering #5,12726000,1003 TURK ST
1181499,John's Catering #5,9090000,560 MISSION ST
1580910,Park's Catering,3376000,1570 BURKE AVE
1580921,Park's Catering,8700000,2525 MARIN ST
1580905,Park's Catering,10397000,525 PHELPS ST
1580926,Park's Catering,9563000,220 NEWHALL ST
1580920,Park's Catering,8483000,10 LOOMIS ST
1580912,Park's Catering,3376000,1575 BURKE AVE
1580922,Park's Catering,9206000,1200 MISSISSIPPI ST
1580923,Park's Catering,9504000,250 NAPOLEON ST
1580906,Park's Catering,10927000,220 RANKIN ST
1580907,Park's Catering,198201,3450 03RD ST
1576239,Natan's Catering,8694000,888 MARIN ST
1515710,Zuri Food Facilities,8722000,1601 MARIPOSA ST
1576216,Natan's Catering,10827000,50 QUINT ST
1576230,Natan's Catering,5340000,2045 EVANS AVE
1576241,Natan's Catering,9212000,555 MISSOURI ST
1576386,San Francisco's Hometown Creamery,10456000,301 PINE ST
1576209,Natan's Catering,0,Assessors Block 4058/Lot010
1576233,Natan's Catering,698000,600 16TH ST
1576226,Natan's Catering,3376000,1580 BURKE AVE
1576375,San Francisco's Hometown Creamery,3528000,425 CALIFORNIA ST
1576210,Natan's Catering,0,Assessors Block 4227/Lot012
1576208,Natan's Catering,0,Assessors Block 4172/Lot010
1576212,Natan's Catering,0,Assessors Block 4046/Lot001
1576238,Natan's Catering,797000,3335 17TH ST
1576219,Natan's Catering,15019101,Assessors Block 8732/Lot001
1576217,Natan's Catering,1232000,435 23RD ST
1576229,Natan's Catering,5337000,1801 EVANS AVE
1576236,Natan's Catering,7174000,Assessors Block 4296/Lot010
1576218,Natan's Catering,1400001,Assessors Block 4241/Lot002
1576206,Natan's Catering,0,Assessors Block 5598/Lot031
1576387,San Francisco's Hometown Creamery,10628000,340 POST ST
1576228,Natan's Catering,4345000,146 CONNECTICUT ST
1576223,Natan's Catering,197101,3201 03RD ST
1576222,Natan's Catering,188101,2101 03RD ST
1576213,Natan's Catering,0,Assessors Block 5216/Lot030
1576369,San Francisco's Hometown Creamery,6109000,281 GEARY ST
1576221,Natan's Catering,185205,1650 03RD ST
1576214,Natan's Catering,0,Assessors Block 4103/Lot023A
1514026,F & C Catering,12491000,1500 TENNESSEE ST
1515285,FRUITYMANIA,8747102,801 MARKET ST
1513358,Brazuca Grill,187101,2085 03RD ST
1549615,Roadside Rotisserie Corporation / Country Grill,5874000,90 BROADWAY
1513354,Brazuca Grill,12484000,815 TENNESSEE ST
1515705,San Pancho's Tacos,3670000,1271 CAPITOL AVE
1515284,FRUITYMANIA,8747202,870 MARKET ST
1529942,Rita's Catering,9100000,1028 MISSION ST
1513368,Brazuca Grill,489000,380 10TH ST
1576227,Natan's Catering,381000,1140 07TH ST
1488716,El Alambre,580000,1800 FOLSOM ST
1516948,Eva's Catering,305000,530 05TH ST
1509787,El Gallo Jiro,1260000,3055 23RD ST
1515703,San Pancho's Tacos,2178101,3119 ALEMANY BLVD
1513362,Brazuca Grill,197101,3305 03RD ST
1513374,Brazuca Grill,7195000,998 INDIANA ST
1513381,Brazuca Grill,9582003,2660 NEWHALL ST
1549613,Roadside Rotisserie Corporation / Country Grill,3075000,333 BRANNAN ST
1512231,"Chairman SF, LLC",9089000,536 MISSION ST
1495113,"Off the Grid Services, LLC",3075000,340 BRANNAN ST
1513375,Brazuca Grill,7195000,951 INDIANA ST
1515850,Philz Coffee Truck,10455000,250 PINE ST
1513376,Brazuca Grill,7200000,1575 INDIANA ST
1514031,F & C Catering,9058000,1275 MINNESOTA ST
1515860,Curry Up Now,179000,601 03RD ST
1529949,Bonito Poke,3528000,430 CALIFORNIA ST
1513030,"San Francisco Street Foods, Inc.",11222000,1 THE EMBARCADERO
1513360,Brazuca Grill,195201,3000 03RD ST
1495093,"Off the Grid Services, LLC",2953000,185 BERRY ST
1515704,San Pancho's Tacos,2801101,491 BAY SHORE BLVD
1549616,Roadside Rotisserie Corporation / Country Grill,2754000,225 BATTERY ST
1513341,El Alambre,5816000,1100 FRANKLIN ST
1513359,Brazuca Grill,187201,2030 03RD ST
1514029,F & C Catering,193201,2800 03RD ST
1513353,Brazuca Grill,12483000,790 TENNESSEE ST
1515707,Zuri Food Facilities,141000,490 02ND ST
1515853,Philz Coffee Truck,8701000,15 MARINA BLVD
1513348,Brazuca Grill,1165000,1255 22ND ST
1513342,El Alambre,5817000,1188 FRANKLIN ST
1534178,Street Meet,6552000,30 GROVE ST
1522411,Faith Sandwich,9090000,560 MISSION ST
1513377,Brazuca Grill,8714000,601 MARIPOSA ST
1513366,Brazuca Grill,2477000,2150 CESAR CHAVEZ ST
1495090,"Off the Grid Services, LLC",2953000,185 BERRY ST
1516946,Eva's Catering,10006000,1199 ORTEGA ST
1513356,Brazuca Grill,1500000,1051 26TH ST
1543851,Truly Food & More,11544000,217 SANSOME ST
1513363,Brazuca Grill,197101,3255 03RD ST
1549612,Roadside Rotisserie Corporation / Country Grill,10624001,1 POST ST
1037692,Munch A Bunch,5882000,365 FULTON ST
