locationid,Applicant,cnn,Address
1337926,La Jefa,12316000,80 SUTTER ST
934552,"Casey's Pizza, LLC",9093000,654 MISSION ST
1337440,Liang Bai Ping,13356000,1500 WALLACE AVE
1337432,Liang Bai Ping,12569000,1180 THOMAS AVE
934598,May Catering,1520000,3251 26TH ST
1337787,Giant Burrito,6148201,1500 GENEVA AVE
453012,Tacos Santana,3742000,2101 CARROLL AVE
1336039,Paradise Catering,9100000,1023 MISSION ST
934584,May Catering,1516000,3150 26TH ST
1544288,Cochinita,3285000,617 BRYANT ST
1336024,Paradise Catering,488000,340 10TH ST
1336735,Quan Catering,2471000,1301 CESAR CHAVEZ ST
934610,May Catering,2477000,2400 CESAR CHAVEZ ST
934517,Scotch Bonnet,9297000,25 MONTGOMERY ST
934575,May Catering,7502000,2270 JERROLD AVE
1089427,Halal Food,3524000,50 CALIFORNIA ST
1336777,Golden Catering,5374000,301 EXECUTIVE PARK BLVD
1336682,Mike's Catering,3157000,860 BROADWAY
934554,"Casey's Pizza, LLC",12045000,100 SPEAR ST
934551,"Casey's Pizza, LLC",5442000,368 FELL ST
1337448,Liang Bai Ping,4908000,1475 CARROLL AVE
934555,"Casey's Pizza, LLC",11544000,231 SANSOME ST
1337436,Liang Bai Ping,12827000,1351 UNDERWOOD AVE
1332948,Mini Mobile Food Catering,8485000,491 BAY SHORE BLVD
934619,May Catering,5372103,150 EXECUTIVE PARK BLVD
1337427,Liang Bai Ping,10808000,1031 QUESADA AVE
934620,May Catering,9050000,911 MINNA ST
1337453,Liang Bai Ping,6542000,1515 GRIFFITH ST
773105,Athena SF Gyro,417000,699 08TH ST
839523,Halal Cart of San Francisco,8741201,1 FRONT ST
1336776,Golden Catering,5372202,101 EXECUTIVE PARK BLVD
837171,Chilifruit,1346000,Assessors Block /Lot
1336733,Quan Catering,198101,3433 03RD ST
1336921,Kettle Corn Star,8747103,865 MARKET ST
1265569,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",10678000,331 POWELL ST
1336734,Quan Catering,2107000,201 ALABAMA ST
453014,Tacos Santana,7501000,2142 JERROLD AVE
1337443,Liang Bai Ping,13780000,1430 YOSEMITE AVE
934589,May Catering,6746000,2130 HARRISON ST
1332947,Mini Mobile Food Catering,7740000,Assessors Block 4341/Lot001
1337456,Liang Bai Ping,8630000,201 FOLSOM ST
934599,May Catering,9504000,180 NAPOLEON ST
1353436,Alfaro Truck,13057001,306 VALENCIA ST
1337451,Liang Bai Ping,5862000,Assessors Block 3720/Lot001
1344178,"Expresso Subito, LLC.",5869000,150 CALIFORNIA ST
934592,May Catering,7163000,299 ILLINOIS ST
934621,May Catering,9053000,535 MINNESOTA ST
1337356,Tacos Rodriguez,9794000,2198 OAKDALE AVE
934588,May Catering,2478101,2501 CESAR CHAVEZ ST
934624,May Catering,6805000,2930 HAWES ST
1336034,Paradise Catering,6713000,575 HARRISON ST
1336681,Mike's Catering,3145000,250 BROADWAY
934597,May Catering,191101,2565 03RD ST
934613,May Catering,10659000,100 POTRERO AVE
839524,Halal Cart of San Francisco,8742101,555 MARKET ST
1336778,Golden Catering,7428000,835 JAMESTOWN AVE
1544281,Boulangerie La Camionnette,5622000,500 FLORIDA ST
1336015,Paradise Catering,0,Assessors Block /Lot
1344172,"Expresso Subito, LLC.",3525000,150 CALIFORNIA ST
1340418,Let's Be Frank,8393001,404 OCTAVIA ST
1141511,Khalid M Malik,2751000,Assessors Block /Lot
1047771,The Chef Station,4801101,425 DIVISADERO ST
934581,May Catering,10672000,1200 POTRERO AVE
1332936,Mini Mobile Food Catering,2138000,Assessors Block 3905/Lot011
1337435,Liang Bai Ping,12827000,1389 UNDERWOOD AVE
934583,May Catering,7166000,600 ILLINOIS ST
934519,Scotch Bonnet,3528000,430 CALIFORNIA ST
1336023,Paradise Catering,459000,555 09TH ST
934622,May Catering,7428000,800 JAMESTOWN AVE
1544290,Cochinita,4806101,999 DIVISADERO ST
1336020,Paradise Catering,4086000,634 CLAY ST
1534033,"Off the Grid Services, LLC",9039000,65 MINNA ST
1337449,Liang Bai Ping,4908000,1450 DONNER AVE
1337452,Liang Bai Ping,6540000,1300 GRIFFITH ST
1337354,Tacos Rodriguez,5331101,1275 EVANS AVE
934602,May Catering,6747000,2150 HARRISON ST
1332945,Mini Mobile Food Catering,6711000,401 HARRISON ST
1337444,Liang Bai Ping,2709000,1440 BANCROFT AVE
1337438,Liang Bai Ping,13139000,1337 VAN DYKE AVE
1332935,Mini Mobile Food Catering,110000,245 01ST ST
1336035,Paradise Catering,6721000,938 HARRISON ST
1336740,Quan Catering,3285000,645 BRYANT ST
934593,May Catering,697000,500 16TH ST
1336774,Golden Catering,2825101,2401 BAY SHORE BLVD
1336016,Paradise Catering,11184000,25 RUSS ST
934302,Yummy Hot Dogs,8749201,954 MARKET ST
934617,May Catering,2953000,185 BERRY ST
812018,SF Street Food,9094000,667 MISSION ST
931094,Swell Cream & Coffee,12410000,2450 TARAVAL ST
934590,May Catering,2955000,301 BERRY ST
934603,May Catering,702000,1006 16TH ST
1336037,Paradise Catering,9047000,621 MINNA ST
1336742,Quan Catering,3524000,50 CALIFORNIA ST
1336019,Paradise Catering,373000,370 07TH ST
934576,May Catering,7169000,1000 ILLINOIS ST
1265607,"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",6109000,Assessors Block /Lot
1332943,Mini Mobile Food Catering,5864000,350 FREMONT ST
1336686,Mike's Catering,9059000,1310 MINNESOTA ST
1332949,Mini Mobile Food Catering,8958000,620 MENDELL ST
1336025,Paradise Catering,4929000,45 DORE ST
840504,Taqueria Lolita,5336000,750 PHELPS ST
1336677,Mike's Catering,15024000,435 CHINA BASIN ST
1337355,Tacos Rodriguez,8958000,600 MENDELL ST
1544283,Cochinita,1329000,2601 24TH ST
1336743,Quan Catering,51657000,151 EXECUTIVE PARK BLVD
1336018,Paradise Catering,3083000,732 BRANNAN ST
934605,May Catering,718000,2500 16TH ST
1337437,Liang Bai Ping,13139000,1370 VAN DYKE AVE
934303,Yummy Hot Dogs,8749101,945 MARKET ST
1337433,Liang Bai Ping,12570000,1212 THOMAS AVE
1336737,Quan Catering,2826101,2555 BAY SHORE BLVD
1351263,Isidoro Serrano,1108000,2501 MISSION ST
934607,May Catering,792000,3030 17TH ST
735315,Ziaurehman Amini,4969000,1 CALIFORNIA ST
1337445,Liang Bai Ping,2709000,1460 BANCROFT AVE
1337457,Liang Bai Ping,9743000,2200 OFARRELL ST
1343454,Esmeli Catering,7022000,Assessors Block /Lot
1337446,Liang Bai Ping,2710000,1555 BANCROFT AVE
1515719,Treats by the Bay LLC,19987000,1550 04TH ST
1367765,Authentic India,8753101,1355 MARKET ST
934574,May Catering,8700000,2525 MARIN ST
1544287,Cochinita,3079000,490 BRANNAN ST
1344203,"Bay Area Dots, LLC",25524000,567 BAY ST
1552373,Breakfast Embed,34169000,1200 04TH ST
1337454,Liang Bai Ping,6792000,1153 SHAFTER AVE
934609,May Catering,3887000,Assessors Block 8711/Lot023
1336027,Paradise Catering,5671000,1069 FOLSOM ST
1344173,"Expresso Subito, LLC.",9091000,85 02ND ST
1400796,El Calamar Perubian Food Truck,1329000,2615 24TH ST
1337923,La Jefa,11543000,155 SANSOME ST
934611,May Catering,2477000,2300 CESAR CHAVEZ ST
1340417,Let's Be Frank,6816000,425 HAYES ST
1336680,Mike's Catering,2477000,2200 CESAR CHAVEZ ST
1447794,Street Meet,7033000,564 HOWARD ST
934614,May Catering,5340000,2090 EVANS AVE
1337920,La Jefa,19987000,1550 04TH ST
1359707,Union Square Business Improvement District,8626000,Assessors Block /Lot
934578,May Catering,2109000,380 ALABAMA ST
934580,May Catering,8234000,1098 LE CONTE AVE
1544284,Cochinita,12662000,290 TOWNSEND ST
1336683,Mike's Catering,7165000,409 ILLINOIS ST
1336026,Paradise Catering,5666000,965 FOLSOM ST
1336021,Paradise Catering,4194000,19 CLEMENTINA ST
1332946,Mini Mobile Food Catering,699001,701 16TH ST
934553,"Casey's Pizza, LLC",10624001,1 POST ST
1332939,Mini Mobile Food Catering,414000,350 08TH ST
1337434,Liang Bai Ping,12570000,1265 THOMAS AVE
1341239,Halal Cart of San Francisco,8737101,1 MARKET ST
1337447,Liang Bai Ping,2866000,300 BEALE ST
1526958,Kid Abelha - Brazilian Hamburgers,12622000,16 TOLAND ST
1336684,Mike's Catering,7198000,Assessors Block 4228/Lot080
1337786,Giant Burrito,2800102,353 BAY SHORE BLVD
934596,May Catering,2111000,501 ALABAMA ST
